id,område,route,kontekst,type,nuværende_tekst,status,problemkategori,bemærkning,forslag,prioritet,fil,linje,dynamisk
FRB-0024,Frøbank,/froebank/[id],Detaljeside: dyrkningsfakta-sektion (titel + labels),dyrkningsfakta,Dyrkningsfakta,auto-gennemgået,OK,"Labels: Sås, Sådybde, Forspiring, Plant ud, Høst, Lys, Vand, Jord, Spiretemp, Spiretid (l.377-393)",,,src/app/(app)/froebank/[id]/page.tsx,374,nej
FRB-0025,Frøbank,/froebank/[id],Detaljeside: sådybde-værdi,dyrkningsfakta,0 mm (overflade),auto-gennemgået,OK,Ellers '${item.sowingDepthMm} mm',,,src/app/(app)/froebank/[id]/page.tsx,380,ja
FRB-0026,Frøbank,/froebank/[id],Detaljeside: afstand-label,dyrkningsfakta,Afstand,auto-flagget,INKONSISTENT_TERMINOLOGI,Hedder 'Planteafstand' i opret-/redigér-formularer og på frøkort — men 'Afstand' her (mens 'Rækkeafstand' beholder fuld form på samme side),Planteafstand,P2,src/app/(app)/froebank/[id]/page.tsx,394,nej
FRB-0027,Frøbank,/froebank/[id],Detaljeside: dyrkningssted-sektion,dyrkningsfakta,Dyrkningssted,auto-gennemgået,OK,Chips fra GROWING_LOCATION_META (uden for scope),,,src/app/(app)/froebank/[id]/page.tsx,414,nej
FRB-0028,Frøbank,/froebank/[id],Detaljeside: detaljer-sektion (titel + labels),ui/microcopy,Detaljer,auto-gennemgået,OK,"Labels: Latinsk navn, Leverandør, Frø, Antal, Købsår, Indkøbsdato, Udløber, Købt her (l.460-475)",,,src/app/(app)/froebank/[id]/page.tsx,456,nej
FRB-0029,Frøbank,/froebank/[id],Detaljeside: frøtælling-værdi,dyrkningsfakta,"${item.seedCount} (${item.seedsSown ?? 0} sået, ${item.seedsRemaining ?? item.seedCount} tilbage)",auto-gennemgået,OK,,,,src/app/(app)/froebank/[id]/page.tsx,465,ja
FRB-0030,Frøbank,/froebank/[id],Detaljeside: antal-værdi (ikke-frø),ui/microcopy,${item.quantity} stk,auto-gennemgået,OK,,,,src/app/(app)/froebank/[id]/page.tsx,469,ja
FRB-0031,Frøbank,/froebank/[id],Detaljeside: opgave-sektion,ui/microcopy,Opgaver,auto-gennemgået,OK,"Tæller: '(${n} åbne)' (l.503); link 'Se kalender' (l.508); '· Udført' på udførte (l.533)",,,src/app/(app)/froebank/[id]/page.tsx,501,nej
FRB-0032,Frøbank,/froebank/[id],Detaljeside: linkede planter (titel + forklaring),ui/microcopy,Dyrkes herfra,auto-gennemgået,OK,"Forklaring: '${n} plante(r) i Mine planter er oprettet fra denne frøpost. Frøbanken er kilden — Planter følger forløbet.' (l.551-552, korrekt ental/flertal)",,,src/app/(app)/froebank/[id]/page.tsx,548,nej
FRB-0033,Frøbank,/froebank/[id],Detaljeside: linket plante metadata,ui/microcopy,Sået ${formatDatoMedAar(p.sowDate)},auto-gennemgået,OK,,,,src/app/(app)/froebank/[id]/page.tsx,567,ja
FRB-0034,Frøbank,/froebank/[id],Detaljeside: frø→plante-broen (adaptive onboarding),hjælp/onboarding,"Frøet er lagt i din Frøbank. Når du sår det, kan du oprette en plante og følge den fra spiring til høst.",auto-gennemgået,OK,,,,src/app/(app)/froebank/[id]/page.tsx,583,nej
FRB-0035,Frøbank,/froebank/[id],Detaljeside: spiretid-formattering (numerisk værdi),dyrkningsfakta,${value} dage,auto-gennemgået,OK,Guardet mod 'dage dage' iflg. kodekommentar,,,src/app/(app)/froebank/[id]/page.tsx,633,ja
FRB-0036,Frøbank,/froebank,Sideintro-note (nye brugere),hjælp/onboarding,Saml dine frø her,auto-gennemgået,OK,"Body: 'Potalot kan huske sorter, såtid og forslag til næste sæson for dig.' (l.67)",,,src/app/(app)/froebank/page.tsx,66,nej
FRB-0037,Frøbank,/froebank/[id],Detaljeside: slet-knap (trigger),ui/microcopy,Slet,auto-gennemgået,OK,,,,src/components/froebank/delete-button.tsx,36,nej
FRB-0038,Frøbank,/froebank/[id],Slet-dialog: titel,ui/microcopy,Slet ${name}?,auto-gennemgået,OK,,,,src/components/froebank/delete-button.tsx,40,ja
FRB-0039,Frøbank,/froebank/[id],Slet-dialog: beskrivelse,ui/microcopy,"Dette kan ikke fortrydes. Linkede aktive planter forbliver, men referencen mistes.",auto-gennemgået,OK,,,,src/components/froebank/delete-button.tsx,42,nej
FRB-0040,Frøbank,/froebank/[id],Slet-dialog: annullér-knap,ui/microcopy,Annullér,auto-gennemgået,OK,,,,src/components/froebank/delete-button.tsx,45,nej
FRB-0041,Frøbank,/froebank/[id],Slet-dialog: bekræft-knap,ui/microcopy,Slet,auto-gennemgået,OK,,,,src/components/froebank/delete-button.tsx,47,nej
FRB-0042,Frøbank,delt,Dyrkningsfelter (opret trin 2 + rediger): placeholder for tomme felter i autofill-kontekst,formular,Ikke udfyldt endnu,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,81,nej
FRB-0043,Frøbank,delt,Dyrkningsfelter: label,formular,Sås (måneder),auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,96,nej
FRB-0044,Frøbank,delt,Dyrkningsfelter: hjælpetekst under autofyldte såmåneder,hjælp/onboarding,"Potalots forslag tager udgangspunkt i danske dyrkningsforhold — ret dem, hvis dine er anderledes.",auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,100,nej
FRB-0045,Frøbank,delt,Dyrkningsfelter: label,formular,Forspiring,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,108,nej
FRB-0046,Frøbank,delt,Dyrkningsfelter: forspiring segment-knapper,formular,Ja,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,110,nej
FRB-0047,Frøbank,delt,Dyrkningsfelter: forspiring segment-knapper,formular,Nej,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,111,nej
FRB-0048,Frøbank,delt,Dyrkningsfelter: label,formular,Sådybde (mm),auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,119,nej
FRB-0049,Frøbank,delt,Dyrkningsfelter: sådybde-placeholder,formular,0 = overflade,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,128,nej
FRB-0050,Frøbank,delt,Dyrkningsfelter: label,formular,Plant ud (måneder),auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,136,nej
FRB-0051,Frøbank,delt,Dyrkningsfelter: label,formular,Høst (måneder),auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,143,nej
FRB-0052,Frøbank,delt,Dyrkningsfelter: label,formular,Lys,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,151,nej
FRB-0053,Frøbank,delt,Dyrkningsfelter: label,formular,Vand,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,164,nej
FRB-0054,Frøbank,delt,Dyrkningsfelter: label,formular,Spiretid,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,182,nej
FRB-0055,Frøbank,delt,Dyrkningsfelter: spiretid-placeholder,formular,fx 7-14 dage,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,186,nej
FRB-0056,Frøbank,delt,Dyrkningsfelter: label (forkortet),formular,Spiretemp.,auto-flagget,INKONSISTENT_TERMINOLOGI,"Skrives 'Spiretemp.' her, 'Spiretemp' (uden punktum) på detaljesiden — tre varianter i alt inkl. 'Spiretemperatur'-fuldform findes ikke","Vælg én form, fx 'Spiretemp.' overalt",P2,src/components/froebank/dyrkningsfakta-fields.tsx,191,nej
FRB-0057,Frøbank,delt,Dyrkningsfelter: spiretemp-placeholder,formular,fx 18-22°C,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,195,nej
FRB-0058,Frøbank,delt,Dyrkningsfelter: label,formular,Planteafstand,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,205,nej
FRB-0059,Frøbank,delt,Dyrkningsfelter: planteafstand-placeholder,formular,fx 40 cm,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,209,nej
FRB-0060,Frøbank,delt,Dyrkningsfelter: label,formular,Rækkeafstand,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,214,nej
FRB-0061,Frøbank,delt,Dyrkningsfelter: rækkeafstand-placeholder,formular,fx 60 cm,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,218,nej
FRB-0062,Frøbank,delt,Dyrkningsfelter: label,formular,Jord,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,227,nej
FRB-0063,Frøbank,delt,Dyrkningsfelter: jord-placeholder,formular,"fx veldrænet, næringsrig",auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,231,nej
FRB-0064,Frøbank,delt,Dyrkningsfelter (opret): fold-knap til avancerede felter,formular,Flere dyrkningsoplysninger,auto-gennemgået,OK,,,,src/components/froebank/dyrkningsfakta-fields.tsx,253,nej
FRB-0065,Frøbank,/froebank/[id],Rediger-dialog: lys-labels i AI-forslag,formular,Fuld sol,auto-gennemgået,OK,,,,src/components/froebank/edit-inventory-dialog.tsx,29,nej
FRB-0066,Frøbank,/froebank/[id],Rediger-dialog: vand-labels i AI-forslag,formular,Regelmæssig,auto-gennemgået,OK,Sæt: Lidt / Regelmæssig / Meget,,,src/components/froebank/edit-inventory-dialog.tsx,35,nej
FRB-0067,Frøbank,/froebank/[id],Rediger-dialog: fejl ved billed-AI-læsning,system/status/fejl,AI: ${res.error},auto-flagget,UKLAR_UX_COPY,"Kan vise rå/engelsk API-fejltekst direkte i UI; 'AI:'-præfiks er teknisk",Venlig dansk fejlbesked + evt. teknisk detalje sekundært,P2,src/components/froebank/edit-inventory-dialog.tsx,102,ja
FRB-0068,Frøbank,/froebank/[id],Rediger-dialog: statusbesked efter billed-AI udfyldte felter,system/status/fejl,"Udfyldte: ${filled.join(', ')}. Klik Gem for at gemme.",auto-flagget,INKONSISTENT_TERMINOLOGI,"Knappen hedder 'Gem ændringer', ikke 'Gem'; 'Klik Gem for at gemme' er desuden redundant",Udfyldte: … Klik 'Gem ændringer' for at beholde dem.,P2,src/components/froebank/edit-inventory-dialog.tsx,130,ja
FRB-0069,Frøbank,/froebank/[id],Rediger-dialog: statusbesked når billed-AI intet nyt fandt,system/status/fejl,AI fandt ikke ny info som ikke allerede er udfyldt.,auto-flagget,UKLAR_UX_COPY,Dobbelt negation gør sætningen svær at læse ('ikke ny info som ikke allerede er udfyldt'),"Vi fandt ikke nye oplysninger ud over dem, der allerede er udfyldt.",P2,src/components/froebank/edit-inventory-dialog.tsx,131,nej
FRB-0070,Frøbank,/froebank/[id],Rediger-dialog: venlig fejl når link ikke kan hentes,system/status/fejl,Linket kunne ikke læses. Prøv et andet link eller upload et foto af frøposen.,auto-gennemgået,OK,,,,src/components/froebank/edit-inventory-dialog.tsx,155,nej
FRB-0071,Frøbank,/froebank/[id],Rediger-dialog: venlig fejl når AI ikke kan læse siden,system/status/fejl,AI kunne ikke læse siden. Prøv et andet link eller upload et foto af frøposen.,auto-gennemgået,OK,,,,src/components/froebank/edit-inventory-dialog.tsx,157,nej
FRB-0072,Frøbank,/froebank/[id],Rediger-dialog: statusbesked når link-AI intet fandt,system/status/fejl,AI kunne ikke finde nok information på linket.,auto-gennemgået,OK,,,,src/components/froebank/edit-inventory-dialog.tsx,319,nej
FRB-0073,Frøbank,/froebank/[id],Rediger-dialog: statusbesked efter link-AI (antal felter),system/status/fejl,"AI udfyldte ${filled.length} ${filled.length === 1 ? 'felt' : 'felter'} (${filled.join(', ')})",auto-gennemgået,OK,Korrekt ental/flertal,,,src/components/froebank/edit-inventory-dialog.tsx,322,ja
FRB-0074,Frøbank,/froebank/[id],Rediger-dialog: statusbesked efter link-AI (forslag),system/status/fejl,${newSuggestions.length} forslag til ændring nedenfor,auto-gennemgået,OK,,,,src/components/froebank/edit-inventory-dialog.tsx,323,ja
FRB-0075,Frøbank,/froebank/[id],Rediger-dialog: catch-fejl ved link-AI,system/status/fejl,AI-fejl: ${msg},auto-flagget,UKLAR_UX_COPY,"Kan vise rå/engelsk exception-tekst ('ukendt fejl' som fallback); teknisk præfiks",Noget gik galt under læsningen af linket. Prøv igen.,P2,src/components/froebank/edit-inventory-dialog.tsx,328,ja
FRB-0076,Frøbank,/froebank/[id],Detaljeside: rediger-knap (trigger),ui/microcopy,Rediger,auto-gennemgået,OK,,,,src/components/froebank/edit-inventory-dialog.tsx,395,nej
FRB-0077,Frøbank,/froebank/[id],Rediger-dialog: titel,ui/microcopy,Rediger ${item.name},auto-gennemgået,OK,,,,src/components/froebank/edit-inventory-dialog.tsx,399,ja
FRB-0078,Frøbank,/froebank/[id],Rediger-dialog: beskrivelse,ui/microcopy,Ret felter for denne frøpose/batch.,auto-gennemgået,OK,,,,src/components/froebank/edit-inventory-dialog.tsx,400,nej
FRB-0079,Frøbank,/froebank/[id],Rediger-dialog: formular-labels,formular,Navn *,auto-gennemgået,OK,"Øvrige labels i samme form: Sort, Latinsk navn, Primær kategori, Underkategori, Leverandør, Antal frø/Antal, Købsår, Udløb, Købt her, Noter, Billeder — alle OK",,,src/components/froebank/edit-inventory-dialog.tsx,405,nej
FRB-0080,Frøbank,/froebank/[id],Rediger-dialog: underkategori tom-option,formular,Ingen,auto-gennemgået,OK,,,,src/components/froebank/edit-inventory-dialog.tsx,439,nej
FRB-0081,Frøbank,/froebank/[id],Rediger-dialog: autoudfyld-fra-link-knap (idle/pending),ui/microcopy,Autoudfyld med AI fra link,auto-flagget,INKONSISTENT_TERMINOLOGI,"'AI' i UI; andre flows omtaler funktionen som 'PotAlot læste posen' / 'Potalots forslag'",Autoudfyld fra link,P2,src/components/froebank/edit-inventory-dialog.tsx,487,nej
FRB-0082,Frøbank,/froebank/[id],Rediger-dialog: loading-tekst på link-knap,system/status/fejl,Læser link…,auto-gennemgået,OK,,,,src/components/froebank/edit-inventory-dialog.tsx,487,nej
FRB-0083,Frøbank,/froebank/[id],Rediger-dialog: overskrift over AI-forslagsliste,ui/microcopy,AI-forslag til felter du allerede har udfyldt,auto-flagget,INKONSISTENT_TERMINOLOGI,'AI' i UI (samme mønster som øvrige AI-benævnelser i dialogen),"Forslag til felter, du allerede har udfyldt",P2,src/components/froebank/edit-inventory-dialog.tsx,498,nej
FRB-0084,Frøbank,/froebank/[id],Rediger-dialog: forslags-række labels,ui/microcopy,Nuværende:,auto-gennemgået,OK,Sammen med 'Forslag:' (linje 507),,,src/components/froebank/edit-inventory-dialog.tsx,504,nej
FRB-0085,Frøbank,/froebank/[id],Rediger-dialog: aria-labels på accept/afvis-knapper,ui/microcopy,Brug forslag,auto-gennemgået,OK,Sammen med 'Behold nuværende' (linje 514),,,src/components/froebank/edit-inventory-dialog.tsx,511,nej
FRB-0086,Frøbank,/froebank/[id],Rediger-dialog: sektionstitel,ui/microcopy,Dyrkningsfakta,auto-gennemgået,OK,,,,src/components/froebank/edit-inventory-dialog.tsx,525,nej
FRB-0087,Frøbank,/froebank/[id],Rediger-dialog: billed-upload label,formular,Tilføj billede(r),auto-gennemgået,OK,,,,src/components/froebank/edit-inventory-dialog.tsx,542,nej
FRB-0088,Frøbank,/froebank/[id],Rediger-dialog: genlæs-billeder-knap,ui/microcopy,Genlæs billeder med AI,auto-flagget,INKONSISTENT_TERMINOLOGI,"'AI' i UI; scan-flowet siger 'PotAlot læste posen'",Genlæs billeder automatisk,P2,src/components/froebank/edit-inventory-dialog.tsx,547,nej
FRB-0089,Frøbank,/froebank/[id],Rediger-dialog: loading på genlæs-knap,system/status/fejl,Læser…,auto-gennemgået,OK,,,,src/components/froebank/edit-inventory-dialog.tsx,547,nej
FRB-0090,Frøbank,/froebank/[id],Rediger-dialog: gem-knap (pending/idle),ui/microcopy,Gemmer…,auto-gennemgået,OK,Idle-tekst: 'Gem ændringer' (samme linje),,,src/components/froebank/edit-inventory-dialog.tsx,559,nej
FRB-0091,Frøbank,delt,Favorit/fastgør-knapper: aria-labels (kort + detalje),ui/microcopy,Markér som favorit,auto-gennemgået,OK,Modstykke: 'Fjern favorit',,,src/components/froebank/favorite-pin-buttons.tsx,51,nej
FRB-0092,Frøbank,delt,Favorit/fastgør-knapper: aria-labels,ui/microcopy,Fastgør,auto-gennemgået,OK,Modstykke: 'Fjern fastgørelse',,,src/components/froebank/favorite-pin-buttons.tsx,59,nej
FRB-0093,Frøbank,/froebank,Filter-sheet: 'Vis'-valg,navigation,Udløber snart,auto-gennemgået,OK,Sæt: Udløber snart / Mangler billede / Mangler guide,,,src/components/froebank/filter-bottom-sheet.tsx,30,nej
FRB-0094,Frøbank,/froebank,Filter-sheet: typevalg,navigation,Ønskeliste,auto-gennemgået,OK,Sæt: Frø / Løg / Knolde / Buske / Træer / Stauder / Ønskeliste,,,src/components/froebank/filter-bottom-sheet.tsx,42,nej
FRB-0095,Frøbank,/froebank,Filter-sheet: sorteringsvalg,navigation,Alfabetisk A–Å,auto-gennemgået,OK,Sæt: Senest tilføjet / Udløber snart / Alfabetisk A–Å / Alfabetisk Å–A,,,src/components/froebank/filter-bottom-sheet.tsx,48,nej
FRB-0096,Frøbank,/froebank,Filter-sheet: dialog aria-label + overskrift,navigation,Filtrér frøbank,auto-gennemgået,OK,Både aria (l.120) og synlig h2 (l.143),,,src/components/froebank/filter-bottom-sheet.tsx,143,nej
FRB-0097,Frøbank,/froebank,Filter-sheet: luk-knap aria,ui/microcopy,Luk,auto-gennemgået,OK,,,,src/components/froebank/filter-bottom-sheet.tsx,148,nej
FRB-0098,Frøbank,/froebank,Filter-sheet: sektionslabels,navigation,Vis,auto-gennemgået,OK,Øvrige sektioner: Type / Indhold / Sortér efter,,,src/components/froebank/filter-bottom-sheet.tsx,156,nej
FRB-0099,Frøbank,/froebank,Filter-sheet: 'Alle'-chip,navigation,Alle,auto-gennemgået,OK,,,,src/components/froebank/filter-bottom-sheet.tsx,158,nej
FRB-0100,Frøbank,/froebank,Filter-sheet: nulstil-knap,ui/microcopy,Nulstil,auto-gennemgået,OK,,,,src/components/froebank/filter-bottom-sheet.tsx,228,nej
FRB-0101,Frøbank,/froebank,Filter-sheet: primær CTA,ui/microcopy,Vis resultater,auto-gennemgået,OK,,,,src/components/froebank/filter-bottom-sheet.tsx,241,nej
FRB-0102,Frøbank,/froebank/[id],Ønskeliste-item: flyt-knap (pending/idle),ui/microcopy,Flyt til Frøbanken,auto-gennemgået,OK,Pending: 'Flytter…',,,src/components/froebank/flyt-til-froebank.tsx,33,nej
FRB-0103,Frøbank,/froebank/[id],Ønskeliste-item: hjælpetekst under flyt-knap,hjælp/onboarding,"Alle oplysninger bevares — kun kategorien ændres. Sorter på ønskelisten tæller ikke som frø, du allerede ejer.",auto-gennemgået,OK,,,,src/components/froebank/flyt-til-froebank.tsx,36,nej
FRB-0104,Frøbank,/froebank,Hero-underkategori-chips (filter-sheet 'Indhold'),navigation,Grøntsager,auto-gennemgået,OK,Sæt: Grøntsager / Blomster / Krydderurter / Bær / Frugt / Græsser / Pryd (l.54-60),,,src/components/froebank/froebank-browser.tsx,54,nej
FRB-0105,Frøbank,/froebank,Panelets 'Senest tilføjet'-linje: relativ tid,ui/microcopy,i dag,auto-gennemgået,OK,Sæt: 'i dag' / 'i går' / '${days} dage siden',,,src/components/froebank/froebank-browser.tsx,207,ja
FRB-0106,Frøbank,/froebank,Panelets 'Senest tilføjet'-linje: fallback når createdAt mangler,ui/microcopy,2 dage siden,auto-flagget,UKLAR_UX_COPY,"Hardcodet, opdigtet tidsangivelse vises hvis nyeste item mangler createdAt — kan være faktuelt forkert",Udelad tidsangivelsen når dato mangler,P2,src/components/froebank/froebank-browser.tsx,211,nej
FRB-0107,Frøbank,/froebank,Panelets kategori-pills,navigation,Frø,auto-gennemgået,OK,Sæt: Frø / Løg / Knolde / Buske / Træer / Stauder / Ønskeliste (l.218-229),,,src/components/froebank/froebank-browser.tsx,218,nej
FRB-0108,Frøbank,/froebank,Aktive filter-chips i mappen,navigation,Næsten tom,auto-gennemgået,OK,Sæt: Mangler billede / Mangler guide / Næsten tom / A–Å / Å–A / Udløber snart (l.291-299),,,src/components/froebank/froebank-browser.tsx,295,nej
FRB-0109,Frøbank,/froebank,Søgning uden match (bank ikke tom): forklaring,ui/microcopy,"Vi kender ikke sorten endnu. Du kan stadig oprette den manuelt, og vi hjælper med de oplysninger, vi har.",auto-gennemgået,OK,,,,src/components/froebank/froebank-browser.tsx,361,nej
FRB-0110,Frøbank,/froebank,Søgning uden match: opret-CTA,ui/microcopy,"Opret ""${search.trim()}""",auto-gennemgået,OK,,,,src/components/froebank/froebank-browser.tsx,367,ja
FRB-0111,Frøbank,/froebank,Ønskeliste-kategori: engangsforklaring (titel),hjælp/onboarding,Din ønskeliste,auto-gennemgået,OK,,,,src/components/froebank/froebank-browser.tsx,378,nej
FRB-0112,Frøbank,/froebank,Ønskeliste-kategori: engangsforklaring (body),hjælp/onboarding,"Gem sorter, du overvejer at dyrke. Når du er klar, kan du flytte dem direkte til Frøbanken.",auto-gennemgået,OK,,,,src/components/froebank/froebank-browser.tsx,379,nej
FRB-0113,Frøbank,delt,Glyf-katalog (bruges bl.a. af glyf-pilot): kategori-labels,ui/microcopy,Frø,auto-gennemgået,OK,Sæt: Frø / Løg / Knolde / Buske / Træer / Stauder (l.56-61),,,src/components/froebank/froebank-category-glyphs.tsx,56,nej
FRB-0114,Frøbank,delt,FroebankHero (komponent pt. ikke importeret nogen steder): default-titel,ui/microcopy,Frøbank,auto-gennemgået,OK,Komponent ser ud til at være ubrugt (ingen imports fundet),,,src/components/froebank/froebank-hero.tsx,23,nej
FRB-0115,Frøbank,delt,FroebankHero (ubrugt): default-tagline,ui/microcopy,"Din samling af frø, løg, knolde, buske, træer og stauder.",auto-gennemgået,OK,,,,src/components/froebank/froebank-hero.tsx,24,nej
FRB-0116,Frøbank,delt,FroebankHero (ubrugt): tilføj-CTA,ui/microcopy,Tilføj frø,auto-gennemgået,OK,,,,src/components/froebank/froebank-hero.tsx,204,nej
FRB-0117,Frøbank,/froebank/[id],Guide-kort: fallback-beskrivelse når guide mangler summary,guide,Åbn guiden og følg dyrkningen trin for trin.,auto-gennemgået,OK,,,,src/components/froebank/guide-link.tsx,127,nej
FRB-0118,Frøbank,/froebank/[id],Guide-kort: eyebrow når guide er tilknyttet,guide,Guide tilknyttet,auto-gennemgået,OK,,,,src/components/froebank/guide-link.tsx,147,nej
FRB-0119,Frøbank,/froebank/[id],Guide-kort: primær CTA,ui/microcopy,Åbn guide,auto-gennemgået,OK,,,,src/components/froebank/guide-link.tsx,157,nej
